Energy;Date;Topic
31678;2022-10-04 07:44:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31680;2022-10-04 07:45:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31688;2022-10-04 07:46:04+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31692;2022-10-04 07:47:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31694;2022-10-04 07:48:15+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31655;2022-10-04 07:39:17+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31656;2022-10-04 07:40:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31659;2022-10-04 07:41:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31661;2022-10-04 07:42:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31667;2022-10-04 07:43:08+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31623;2022-10-04 07:34:15+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31633;2022-10-04 07:35:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31642;2022-10-04 07:36:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31644;2022-10-04 07:37:13+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31652;2022-10-04 07:38:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31593;2022-10-04 07:29:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31605;2022-10-04 07:30:21+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31607;2022-10-04 07:31:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31609;2022-10-04 07:32:01+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31617;2022-10-04 07:33:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31578;2022-10-04 07:24:05+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31580;2022-10-04 07:25:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31581;2022-10-04 07:26:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31590;2022-10-04 07:27:03+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31591;2022-10-04 07:28:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31549;2022-10-04 07:19:19+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31553;2022-10-04 07:20:04+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31555;2022-10-04 07:21:00+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31564;2022-10-04 07:22:16+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31565;2022-10-04 07:23:02+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31515;2022-10-04 07:14:07+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31521;2022-10-04 07:15:05+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31523;2022-10-04 07:16:11+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31525;2022-10-04 07:17:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31541;2022-10-04 07:18:20+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
31490;2022-10-04 07:09:06+00:00;shellies/shellyplug-s-D9B9EB/relay/0/energy
